timestamp,added_by,author,title,type,where
25.11.2024 16:31:43,Cleo,"Schulten, C., & Chounta, I. A.",How do we learn in and from Hackathons? A systematic literature review.,Article,https://link.springer.com/article/10.1007/s10639-024-12668-1 
25.11.2024 16:34:11,Cleo,"Nolte, A., Hayden, L. B., & Herbsleb, J. D.",How to Support Newcomers in Scientific Hackathons - An Action Research Study on Expert Mentoring.,"Article, How to organize",https://hackathon-planning-kit.org/files/Nolte-CSCW-2020.pdf 
2025-10-21 14:03:48.347343,zenodo_script,"Affia, A., Gama, K., Herbsleb, J., & Nolte, A.","How to organize an in-person, online or hybrid hackathon - A revised planning kit","HtH, Report",https://doi.org/10.48550/arXiv.2008.08025 
2025-10-21 14:03:48.347370,zenodo_script,"Nolte, A., Filippova, A., & Herbsleb, J.",A survey instrument for hackathon organizers and researchers,"HtH, Other",https://doi.org/10.5281/zenodo.14705828 
2025-10-21 15:16:19.652537,Oleg Lavrovsky,Park et al.,Healthcare hackathons as open innovation,Journal,https://www.nature.com/articles/s44222-023-00070-4
2025-10-21 15:16:19.652574,Oleg Lavrovsky,Simonofski et al.,"Participation in Hackathons: A Multi-methods View on Motivators, Demotivators and Citizen Participation",Other,http://link.springer.com/10.1007/978-3-030-50316-1_14
2025-10-21 15:16:19.652578,Oleg Lavrovsky,Barana et al.,Driving International Collaboration Beyond Boundaries Through Hackathons: A Comparative Analysis of Four Hackathon Setups,Journal,https://www.mdpi.com/2078-2489/16/6/488
2025-10-21 15:16:19.652580,Oleg Lavrovsky,Oyetade et al.,Educational benefits of hackathon: A systematic literature review,Journal,https://un-pub.eu/ojs/index.php/wjet/article/view/7131
2025-10-21 15:16:19.652583,Oleg Lavrovsky,Arter et al.,Development and Implementation of a Policy Hackathon to Address Nursing Staffing Issues,Journal,https://journals.sagepub.com/doi/10.1177/15271544251317196
2025-10-21 15:16:19.652586,Oleg Lavrovsky,Flus et al.,Presenting Hackathon Data for Design Research: A Transcript Dataset,Journal,https://asmedigitalcollection.asme.org/mechanicaldesign/article/147/4/044506/1212561/Presenting-Hackathon-Data-for-Design-Research-A
2025-10-21 15:16:19.652588,Oleg Lavrovsky,Frid et al.,Bridging generative AI and healthcare practice: insights from the GenAI Health Hackathon at Hospital Clínic de Barcelona,Journal,https://informatics.bmj.com/lookup/doi/10.1136/bmjhci-2025-101640
2025-10-21 15:16:19.652591,Oleg Lavrovsky,Valentine and Robertson-Anderson,Hacktive Matter: data-driven discovery through hackathon-based cross-disciplinary coding,Other,https://arxiv.org/abs/2505.01365
2025-10-21 15:16:19.652593,Oleg Lavrovsky,Basit et al.,QHackBench: Benchmarking Large Language Models for Quantum Code Generation Using PennyLane Hackathon Challenges,Other,http://arxiv.org/abs/2506.20008
2025-10-21 15:16:19.652597,Oleg Lavrovsky,Devare,Amalgamation of Indirect Gamification into Development and Operations (DEVOPS) Course Teaching,Journal,https://arxiv.org/abs/2204.04659
